Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2022-08-24,30.74,64.31,10.799999999999999,29.635,21.316666666666666,27.622000000000003,11.426666666666668,0.5883333333333333,33.29,1.1983333333333333,1.3133333333333332,0.6416666666666667,,0.554,0.614,30.3,75.98166666666667,0.37666666666666665,140.08166666666668,0.004,0.4,220.48833333333334,752.1833333333334,-0.06
2022-08-25,33.96666666666667,78.518,6.201666666666667,19.281666666666666,13.148333333333333,33.178,9.275,0.5616666666666666,24.411666666666665,1.285,1.3083333333333333,0.6549999999999999,,0.572,0.484,30.64333333333333,72.98,0.63,123.71166666666666,0.006,0.5599999999999999,168.595,751.665,-0.08
2022-08-26,43.86333333333334,98.124,5.906666666666666,17.683333333333334,12.436666666666667,31.1,8.43,0.6516666666666667,30.791666666666668,1.5166666666666668,1.0366666666666666,0.6066666666666667,,0.532,0.5439999999999999,30.855,76.62166666666667,0.29,173.54166666666666,0.002,0.16,142.15166666666667,751.5433333333334,-0.05
2022-08-27,40.18833333333333,92.804,7.665,18.815,14.706666666666665,23.836000000000002,9.271666666666667,0.7433333333333333,27.601666666666663,1.4733333333333334,1.18,0.6366666666666667,,0.504,0.572,31.44333333333333,76.67833333333333,0.38000000000000006,213.02333333333334,0.0,0.0,171.005,751.41,-0.05
2022-08-28,24.213333333333335,61.738,6.859999999999999,18.348333333333333,14.195,24.172,8.073333333333332,0.5766666666666667,28.891666666666666,1.0999999999999999,1.1933333333333334,0.625,,0.536,0.568,29.069999999999997,81.07666666666667,0.45166666666666666,108.92833333333333,0.018,1.7399999999999998,112.37166666666667,751.77,-0.06
2022-08-29,39.96333333333333,87.856,8.071666666666667,20.265,16.155,24.934,8.255,0.7216666666666667,32.46666666666667,1.4400000000000002,1.5066666666666666,0.7116666666666666,,0.686,0.852,30.188333333333333,77.075,0.4066666666666667,118.42500000000001,0.0,0.04,166.70666666666668,752.245,-0.06
2022-08-30,61.00666666666667,128.5,9.048333333333334,20.548333333333332,16.57,24.52,10.765,0.8466666666666667,23.650000000000002,2.0966666666666667,1.5683333333333334,0.7033333333333333,,0.718,0.9400000000000001,30.603333333333335,79.38666666666667,0.2816666666666667,166.73333333333332,0.0,0.0,136.69,752.2433333333333,-0.06
2022-08-31,48.843333333333334,101.852,7.9316666666666675,19.188333333333333,15.061666666666667,23.728,6.846666666666667,0.79,21.873333333333335,1.7550000000000001,1.4366666666666668,0.765,,0.796,0.95,29.99,83.45166666666667,0.3116666666666667,179.1,0.262,24.240000000000002,119.015,752.0233333333334,-0.05
2022-09-01,43.093333333333334,109.276,5.988333333333333,16.718333333333334,11.745,24.97,6.890000000000001,0.5683333333333334,26.34,1.305,1.285,0.5599999999999999,,0.53,0.5,30.025000000000002,78.62166666666667,0.32833333333333337,151.96,0.032,2.96,151.51833333333335,752.125,-0.06
2022-09-02,34.07,85.438,7.488333333333333,18.508333333333333,14.798333333333334,23.932,5.920000000000001,0.6383333333333333,22.348333333333333,1.0466666666666666,1.33,0.5433333333333333,,0.49800000000000005,0.43599999999999994,30.060000000000002,79.365,0.3383333333333333,203.80166666666665,0.0,0.08,166.23,752.1850000000001,-0.05
2022-09-03,27.82166666666667,77.478,6.628333333333334,17.325,13.396666666666667,23.132,6.56,0.64,20.988333333333333,1.4033333333333333,1.3933333333333333,0.69,,0.5359999999999999,0.41200000000000003,29.386666666666667,85.78000000000002,0.42,200.91166666666666,0.194,17.419999999999998,112.86333333333334,751.7433333333333,-0.05
2022-09-04,33.75833333333333,93.214,7.761666666666667,18.151666666666667,13.923333333333332,22.232,8.53,0.775,25.3,1.3,1.3366666666666667,0.5166666666666667,,0.47000000000000003,0.61,30.345,79.78500000000001,0.325,198.97166666666666,0.0,0.08,166.76166666666666,751.6999999999999,-0.05
2022-09-05,36.153333333333336,96.638,6.801666666666667,19.286666666666665,14.601666666666667,22.354,9.238333333333333,0.6366666666666667,27.57166666666667,1.1616666666666666,1.0583333333333333,0.5366666666666667,,0.53,0.554,30.391666666666666,76.855,0.3066666666666667,186.38333333333333,0.022,2.0,163.01166666666668,751.84,-0.05
2022-09-06,43.66,112.28399999999999,13.818333333333333,20.19333333333333,19.613333333333333,22.772,8.48,1.0166666666666666,17.641666666666666,2.6149999999999998,2.2666666666666666,1.1916666666666667,,1.14,1.322,28.953333333333333,88.44166666666666,0.2316666666666667,151.465,0.186,17.740000000000002,72.065,752.0083333333333,-0.05
2022-09-07,53.465,130.81599999999997,10.081666666666667,20.558333333333334,17.848333333333333,24.21,7.923333333333333,0.7583333333333333,22.561666666666667,2.225,1.79,0.7833333333333333,,0.8880000000000001,1.126,29.773333333333337,85.14999999999999,0.3766666666666667,113.57666666666667,0.026000000000000002,2.52,124.34333333333332,752.2516666666667,-0.06
2022-09-08,44.31166666666667,109.44000000000001,8.701666666666666,17.19333333333333,15.028333333333334,23.764,8.786666666666667,0.7233333333333333,21.57166666666667,1.905,1.5683333333333334,0.7266666666666667,,0.716,0.712,29.436666666666667,86.37166666666667,0.42,100.04166666666667,0.074,7.06,97.63333333333333,752.3833333333333,-0.06
2022-09-09,32.818333333333335,85.51,8.445,17.496666666666666,15.135,23.528,7.871666666666667,0.6433333333333333,19.025,1.3333333333333333,1.31,0.5816666666666667,,0.6020000000000001,0.538,30.503333333333334,79.14833333333333,0.46166666666666667,91.05833333333334,0.0,0.0,171.71833333333333,752.4183333333334,-0.06
